(89, False, [True, False, True, False], '(instance_count=2,resp_time=0.3774945)')
(90, False, [True, False, True, False], '(instance_count=2,resp_time=0.37754452)')
(91, False, [True, False, True, False], '(instance_count=2,resp_time=0.38790327)')
(92, False, [True, False, True, False], '(instance_count=2,resp_time=0.38609606)')
(93, False, [True, False, True, False], '(instance_count=2,resp_time=0.38709572)')
(94, False, [True, False, True, False], '(instance_count=2,resp_time=0.36581466)')
(95, False, [True, False, True, False], '(instance_count=2,resp_time=0.39696103)')
(96, False, [True, False, True, False], '(instance_count=2,resp_time=0.38690066)')
(97, False, [True, False, True, False], '(instance_count=2,resp_time=0.37747002)')
(98, False, [True, False, True, False], '(instance_count=2,resp_time=0.3727675)')
(99, False, [True, False, True, False], '(instance_count=2,resp_time=0.43896672)')
(100, False, [True, False, True, False], '(instance_count=2,resp_time=0.37734708)')
(101, False, [True, False, True, False], '(instance_count=2,resp_time=0.39637724)')
(102, False, [True, False, True, False], '(instance_count=2,resp_time=0.4062396)')
(103, False, [True, False, True, False], '(instance_count=2,resp_time=0.37593824)')
(104, False, [True, False, True, False], '(instance_count=2,resp_time=0.40562922)')
(105, False, [True, False, True, False], '(instance_count=2,resp_time=0.37600574)')
(106, False, [True, False, True, False], '(instance_count=2,resp_time=0.4061744)')
(107, False, [True, False, True, False], '(instance_count=2,resp_time=0.37779537)')
(108, False, [True, False, True, False], '(instance_count=2,resp_time=0.37634265)')
(109, False, [True, False, True, False], '(instance_count=2,resp_time=0.42366877)')
(110, False, [True, False, True, False], '(instance_count=2,resp_time=0.37701377)')
(111, False, [True, False, True, False], '(instance_count=2,resp_time=0.3660103)')
(112, False, [True, False, True, False], '(instance_count=2,resp_time=0.37750956)')
(113, False, [True, False, True, False], '(instance_count=2,resp_time=0.36362904)')
(114, False, [True, False, True, False], '(instance_count=2,resp_time=0.40546432)')
(115, False, [True, False, True, False], '(instance_count=2,resp_time=0.3769211)')
(116, False, [True, False, True, False], '(instance_count=2,resp_time=0.377102)')
(117, False, [True, False, True, False], '(instance_count=2,resp_time=0.3755729)')
(118, False, [True, False, True, False], '(instance_count=2,resp_time=0.42270216)')
(119, False, [True, False, True, False], '(instance_count=2,resp_time=0.3966558)')
